genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCF_014901875	5274	5057	14	family	0.93	0.9	0.82	0.04	0.08	0.94	0.84	False
GCF_001281005	4862	4799	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCF_905218895	4928	4864	3	genus	0.86	0.85	0.02	0.08	0.18	0.95	0.81	True
GCF_902166445	5365	5221	192	order	0.98	0.95	1.0	0.06	0.12	0.92	0.88	False
GCF_016500615	4888	4745	60	species	0.85	0.83	0.02	0.04	0.09	0.99	0.82	True
GCF_016905765	5277	5169	261	family	0.94	0.92	0.85	0.03	0.06	0.95	0.87	False
GCF_014856055	4596	4524	46	family	0.96	0.94	0.62	0.02	0.05	0.97	0.91	False
GCF_016501665	4366	4331	16	genus	0.9	0.9	0.05	0.03	0.07	0.99	0.88	True
GCF_013801705	4470	4412	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.92	0.91	True
GCF_019660505	4884	4802	83	genus	0.9	0.88	0.18	0.11	0.25	0.95	0.84	True
GCF_010590395	5464	5341	531	class	0.99	0.97	1.0	0.03	0.06	0.93	0.9	False
GCF_016905675	5223	5107	232	genus	0.86	0.84	0.48	0.11	0.27	0.95	0.79	False
GCF_013925725	5561	5333	8	genus	0.83	0.8	0.12	0.15	0.38	0.95	0.75	True
GCF_901456235	4785	4665	5	genus	0.86	0.84	0.02	0.06	0.13	0.95	0.8	True
GCF_018439045	5758	5491	1039	genus	0.85	0.81	0.62	0.13	0.32	0.95	0.77	False
GCF_008931625	5226	5139	6	genus	0.88	0.87	0.32	0.15	0.36	0.95	0.83	True
GCF_013724985	4406	4351	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.92	0.91	True
GCF_020809005	4957	4877	4	genus	0.89	0.88	0.02	0.11	0.26	0.95	0.83	True
GCF_902498925	5046	4967	126	family	0.95	0.93	0.87	0.03	0.06	0.97	0.91	False
GCF_018919595	5167	5043	572	genus	0.83	0.81	0.24	0.03	0.06	0.96	0.78	True
GCF_014855955	4785	4703	63	genus	0.85	0.84	0.11	0.06	0.12	0.96	0.8	True
GCF_905338045	5195	5008	8	genus	0.83	0.8	0.05	0.08	0.18	0.95	0.76	True
GCF_016500575	4907	4816	43	genus	0.86	0.85	0.1	0.07	0.15	0.95	0.81	True
GCF_002151755	5081	4901	5	genus	0.87	0.84	0.06	0.13	0.3	0.95	0.8	True
GCF_013836145	4047	4007	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.91	0.9	True
ERQ0166	5351	4983	211	genus	0.83	0.78	0.28	0.09	0.19	0.95	0.74	True
GCF_016892575	4440	4385	36	genus	0.9	0.89	0.09	0.05	0.1	0.96	0.85	True
GCF_013899385	4586	4544	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_013725595	5313	5152	4	genus	0.86	0.83	0.05	0.13	0.32	0.95	0.79	True
GCF_005281355	4662	4592	89	genus	0.89	0.88	0.16	0.04	0.07	0.97	0.85	True
GCF_016504815	4829	4770	31	genus	0.88	0.87	0.07	0.07	0.16	0.95	0.82	True
GCF_016859905	5181	5101	70	genus	0.88	0.87	0.38	0.14	0.33	0.95	0.83	True
GCF_000521965	4957	4805	2	genus	0.85	0.83	0.06	0.09	0.19	0.96	0.79	True
GCF_004004805	5196	4988	227	genus	0.86	0.83	0.37	0.12	0.27	0.95	0.79	True
GCF_014803105	4953	4866	99	genus	0.87	0.85	0.22	0.09	0.21	0.95	0.81	True
GCF_013749535	5079	5002	3	genus	0.89	0.87	0.17	0.15	0.39	0.95	0.83	True
GCF_001037585	5317	5121	4	genus	0.81	0.78	0.04	0.05	0.12	0.95	0.74	True
GCF_001721255	5493	5274	146	family	0.92	0.89	0.79	0.03	0.06	0.97	0.86	False
GCF_008931685	5381	5163	6	family	0.93	0.9	0.72	0.04	0.08	0.94	0.84	False
GCF_900079795	4837	4772	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
