ID ST_new Cluster__autocolour bacsort_species match collection Int_Ext biosample Source Country Date strain Year_bin Source_simple
GCF_014901875 ST18 1 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_001281005 ST252 2 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN03996567 Human China 2013 P10159 2011-2015 Human
GCF_905218895 ST1^^ 3 "Citrobacter freundii" 100.00% RefSeq Ext SAMEA7853238 Unknown Unknown NA NA Unknown Unknown
GCF_902166445 ST307 4 "Citrobacter freundii" 100.00% RefSeq Ext SAMEA104567751 Unknown Unknown NA NA Unknown Unknown
GCF_016500615 ST2^^ 5 "Citrobacter cronae" 100.00% RefSeq Ext SAMN16340034 Human USA 2019 CB00199 2016-2020 Human
GCF_016905765 ST65 6 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16933267 Human "Czech Republic" 2018 CF47299 2016-2020 Human
GCF_013801705 ST3^^ 9 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148428 Bovine "United Kingdom" 2017 RHB41-C16 2016-2020 Swine/Bovine
GCF_019660505 ST22 10 "Citrobacter freundii" 100.00% RefSeq Ext SAMN20568179 Human China 2015 CF-15-61 2011-2015 Human
GCF_010590395 ST95 11 "Citrobacter freundii" 100.00% RefSeq Ext SAMN12250780 Human USA 2015 AS012461 2011-2015 Human
GCF_016905675 ST4^^ 12 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16933274 Human "Czech Republic" 2019 CF48658 2016-2020 Human
GCF_013925725 ST5^^ 13 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_901456235 ST21 14 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMEA5578856 Unknown Unknown NA NA Unknown Unknown
GCF_018439045 ST22 15 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17371840 Human Germany 2017 NRZ-38954 2016-2020 Human
GCF_008931625 ST95 16 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_013724985 ST6^^ 17 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148754 Environment "United Kingdom" 2017 RHBSTW-00968 2016-2020 Environment
GCF_020809005 ST22 10 "Citrobacter freundii" 100.00% RefSeq Ext SAMN21601121 Human China 2020 DY2010 2016-2020 Human
GCF_902498925 ST7^^ 18 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMEA5956034 Unknown Unknown NA NA Unknown Unknown
GCF_018919595 ST8^^ 19 "Citrobacter braakii" 100.00% RefSeq Ext SAMN19645714 Human Unknown 2016 S44_ASV_140 2016-2020 Human
GCF_014855955 ST9^^ 20 "Citrobacter freundii" 100.00% RefSeq Ext SAMN12220000 Other Germany 2014 CF14650 2011-2015 Other
GCF_905338045 ST10^^ 21 "Citrobacter freundii" 100.00% RefSeq Ext SAMEA8158485 Unknown Unknown NA NA Unknown Unknown
GCF_016500575 ST307 22 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16340032 Human USA 2019 CB00197 2016-2020 Human
GCF_002151755 ST11^^ 23 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
ERQ0166 ST110 25 "Citrobacter braakii" 99.68% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_016892575 ST12^^ 26 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN17321484 Plant USA 2020 "RIT 805" 2016-2020 Plant
GCF_013899385 ST13^^ 27 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN15148084 Bovine "United Kingdom" 2017 RHB12-C18 2016-2020 Swine/Bovine
GCF_013725595 ST14^^ 28 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148747 Environment "United Kingdom" 2017 RHBSTW-00935 2016-2020 Environment
GCF_005281355 ST15^^ 29 "Citrobacter werkmanii" 100.00% RefSeq Ext SAMN11369619 Unknown Poland NA wls615 Unknown Unknown
