name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
ERQ0678	Klebsiella pneumoniae	573	S	87	20	107	0.24263
ERQ0678	Enterobacter hormaechei	158836	S	4	3	7	0.01587
ERQ0678	Salmonella enterica	28901	S	4	0	4	0.00907
ERQ0173	Citrobacter freundii	546	S	88	56	144	0.77005
ERQ0173	Enterobacter hormaechei	158836	S	7	7	14	0.07487
ERQ0173	Escherichia coli	562	S	4	24	28	0.14973
GCF_014332835	Citrobacter freundii	546	S	25	14	39	0.60938
GCF_014332835	Salmonella enterica	28901	S	16	8	24	0.375
GCF_000731055	Citrobacter amalonaticus	35703	S	50	6	56	0.51852
GCF_000731055	Citrobacter sp. RHB35-C17	2742625	S	13	5	18	0.16667
GCF_000731055	Citrobacter sp. CFNIH10	1920110	S	12	6	18	0.16667
