ID	ST_new	Cluster__autocolour	bacsort_species	match	collection	Int_Ext	biosample	Source	Country	Date	strain
GCF_014901875	18	1	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_001281005	252	2	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN03996567	Human	China	2013	P10159
GCF_905218895	placeholder_ST1	3	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA7853238	"NA"	"NA"	"NA"	"NA"
GCF_902166445	307	4	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA104567751	"NA"	"NA"	"NA"	"NA"
GCF_016500615	placeholder_ST2	5	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN16340034	Human	USA	2019	CB00199
GCF_016905765	65	6	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933267	Human	Czech Republic	2018	CF47299
GCF_013801705	placeholder_ST3	9	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148428	Bovine	United Kingdom	2017	RHB41-C16
GCF_019660505	22	10	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN20568179	Human	China	2015	CF-15-61
GCF_010590395	95	11	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12250780	Human	USA	2015	AS012461
GCF_016905675	placeholder_ST4	12	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933274	Human	Czech Republic	2019	CF48658
GCF_013925725	placeholder_ST5	13	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_901456235	21	14	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMEA5578856	"NA"	"NA"	"NA"	"NA"
GCF_018439045	22	15	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17371840	Human	Germany	2017	NRZ-38954
GCF_008931625	95	16	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_013724985	placeholder_ST6	17	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148754	Environment	United Kingdom	2017	RHBSTW-00968
GCF_020809005	22	18	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN21601121	Human	China	2020	DY2010
GCF_902498925	placeholder_ST7	19	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMEA5956034	"NA"	"NA"	"NA"	"NA"
GCF_018919595	placeholder_ST8	20	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN19645714	Human	"NA"	2016	S44_ASV_140
GCF_014855955	placeholder_ST9	21	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220000	Other	Germany	2014	CF14650
GCF_905338045	placeholder_ST10	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA8158485	"NA"	"NA"	"NA"	"NA"
GCF_016500575	307	23	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340032	Human	USA	2019	CB00197
GCF_002151755	placeholder_ST11	24	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
ERQ0166	110	26	Citrobacter braakii	99.68%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_016892575	placeholder_ST12	27	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN17321484	Plant	USA	2020	RIT 805
GCF_013899385	placeholder_ST13	28	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN15148084	Bovine	United Kingdom	2017	RHB12-C18
GCF_013725595	placeholder_ST14	29	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148747	Environment	United Kingdom	2017	RHBSTW-00935
GCF_005281355	placeholder_ST15	30	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11369619	"NA"	Poland	"NA"	wls615
GCF_016504815	placeholder_ST16	31	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMN10435596	Human	USA	2017	CB00053
GCF_016859905	placeholder_ST17	32	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_000521965	98	33	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_004004805	98	34	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_014803105	22	35	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205296	Human	France	2018	169B1
GCF_013749535	481	36	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148611	Environment	United Kingdom	2017	RHBSTW-00435
GCF_001037585	328	37	Citrobacter portucalensis	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_001721255	placeholder_ST18	38	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN05213497	Human	Pakistan	2013	CFSAN044567
GCF_008931685	95	39	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_900079795	placeholder_ST19	40	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMEA3932380	"NA"	"NA"	"NA"	"NA"
GCF_014803115	22	41	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205293	Human	France	2018	164F1
GCF_018066565	22	43	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN18511096	Human	USA	2020	2021EL-00125
GCF_005281175	placeholder_ST20	44	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN11369620	"NA"	Poland	"NA"	wls617
GCF_003990165	170	45	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN10613770	Reptile	China	2017	CQ-CP1
GCF_002051555	129	46	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN06603405	Avian	Bangladesh	2015	NR-12
GCF_016905775	65	47	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933268	Human	Czech Republic	2018	CF47462
GCF_016505335	183	48	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN10435568	Human	USA	2017	CB00024
GCF_001022155	22	49	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03733741	Human	USA	2010	CAV1321
GCF_002192675	22	50	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN06009454	Environment	USA	2011	DPB_2
GCF_014101295	placeholder_ST21	51	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148586	Environment	United Kingdom	2017	RHBSTW-00344
GCF_005281025	placeholder_ST22	52	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11369632	"NA"	Poland	"NA"	wls714
ERQ0156	150	53	Citrobacter freundii	99.45%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_000937505	23	56	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03316840	Human	USA	2012	MRSN 12115
GCF_001880955	18	57	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN05447752	Human	Spain	2014	CF_14_ST_18
GCF_018441285	19	58	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372138	Human	Germany	2019	Survcare247
GCF_019270335	356	59	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824624	Other	Thailand	"NA"	Colony312
DB_3_C11	placeholder_ST23	60	Citrobacter freundii	99.47%	Wastewater	Int	"NA"	Wastewater	Australia	2020	"NA"
SD_5_A12	367	61	Citrobacter braakii	99.10%	Gull	Int	"NA"	Gull	Australia	2019	"NA"
GCF_014802805	22	62	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205309	Human	France	2019	195J10
GCF_008370125	63	63	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN09976800	Reptile	Brazil	2017	ECTV13
GCF_002903215	110	64	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN03455982	"NA"	USA	2014	CFNIH3
ERQ0165	110	65	Citrobacter braakii	99.74%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_013792365	98	66	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148495	Environment	United Kingdom	2017	RHBSTW-00119
GCF_002863945	placeholder_ST24	67	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN07974441	Human	USA	"NA"	YDC691
GCF_003400395	30	68	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN08623837	Human	USA	2016	CRE89
GCF_015731115	501	69	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16274500	Bovine	China	2019	SC4R
GCF_018421715	91	70	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17373064	Human	Germany	2019	Survcare396
GCF_002386385	placeholder_ST25	71	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN07312408	Human	USA	2014	FDAARGOS_364
GCF_019584005	placeholder_ST26	72	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11855594	Environment	Nigeria	2017	EC_71
GCF_002918575	placeholder_ST27	74	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN08395889	Plant	"NA"	"NA"	S649
GCF_004801125	placeholder_ST28	75	Citrobacter murliniae	100.00%	RefSeq	Ext	SAMN09204092	Human	United Kingdom	2016	P080C CL
GCF_016500865	placeholder_ST29	76	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340017	Human	USA	2019	CB00179
GCF_016503635	placeholder_ST30	77	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN12220318	Human	USA	2018	CB00113
GCF_004005255	62	80	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10644698	Environmental facility	France	2017	109A3
GCF_016500885	placeholder_ST31	81	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340015	Human	USA	2019	CB00177
GCF_005281165	placeholder_ST32	82	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11369624	"NA"	Poland	"NA"	wls621
GCF_016502045	22	84	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN13621915	Human	USA	2018	CB00131
GCF_005281155	placeholder_ST33	85	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11369621	"NA"	Poland	"NA"	wls618
GCF_009876795	placeholder_ST34	86	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN11945276	Human	USA	2015	BIOML-A5
GCF_003015305	placeholder_ST35	87	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN08426773	Mammalian	Germany	2017	236-17-2
GCF_002417525	placeholder_ST36	88	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN06106877	Human	South Africa	2013	CF003
GCF_011602505	placeholder_ST19	89	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN14352213	Environment	China	2015	Y3
GCF_015230995	placeholder_ST37	90	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN14347827	Environment	South Africa	2019	19RL1-4
GCF_000277565	169	91	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02471426	Environment	Malaysia	"NA"	A1
GCF_016500585	114	92	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340030	Human	USA	2019	CB00195
GCF_004801105	311	93	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN09204089	Human	United Kingdom	2016	P079F I
GCF_005960425	263	94	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_004023995	8	95	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN09289757	Environment	USA	2017	GEO_48_Eff_C
GCF_004801115	95	96	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN09204104	Human	United Kingdom	2016	P106E PI
GCF_010319905	placeholder_ST38	97	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMD00201481	"NA"	"NA"	"NA"	"NA"
GCF_002939255	placeholder_ST39	98	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN06234158	Plant	Bolivia	2013	CA-26
GCF_021417205	85	99	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN21237503	Human	China	2018	16G70
GCF_016509215	31	100	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN10435565	Human	USA	2017	CB00021
GCF_014855625	placeholder_ST40	101	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN12219571	Human	Germany	2014	CA13304
GCF_014803025	22	102	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205299	Human	France	2018	179H4
ERQ0683	116	103	Citrobacter freundii	99.45%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_016503845	91	104	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220309	Human	USA	2018	CB00104
GCF_000158355	placeholder_ST41	105	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN02463699	Human	"NA"	"NA"	30_2
GCF_016502215	240	106	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN10435574	Other	USA	2017	CB00030
GCF_013745755	placeholder_ST42	107	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148688	Environment	United Kingdom	2017	RHBSTW-00714
ERQ0172	264	108	Citrobacter portucalensis	98.47%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_001055315	341	109	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03197734	Human	USA	"NA"	538_CKOS
SD_2_G2	placeholder_ST43	112	Citrobacter amalonaticus	99.25%	Gull	Int	"NA"	Gull	Australia	2019	"NA"
GCF_900446905	184	113	Citrobacter youngae	100.00%	RefSeq	Ext	SAMEA3714888	"NA"	"NA"	"NA"	"NA"
ERQ0682	116	114	Citrobacter freundii	99.46%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_905219065	8	115	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA7853256	"NA"	"NA"	"NA"	"NA"
GCF_013786145	185	116	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148568	Environment	United Kingdom	2017	RHBSTW-00310
GCF_002918495	placeholder_ST44	117	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN08395895	Plant	"NA"	"NA"	S1278
GCF_013798355	placeholder_ST42	118	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148447	Environment	United Kingdom	2017	RHBSTW-00006
GCF_010119415	420	119	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN13927060	Environment	Ireland	2017	UL-CPE-01
ERQ0044	placeholder_ST45	120	Citrobacter portucalensis	99.34%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_014803275	22	122	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205284	Human	France	2017	137i2
GCF_002918465	placeholder_ST44	117	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN08395900	Plant	"NA"	"NA"	S1283
GCF_018443005	22	123	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372014	Human	Germany	2018	Survcare092
GCF_018441725	placeholder_ST46	124	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372075	Human	Germany	2018	Survcare163
GCF_015730635	109	125	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN16274524	Bovine	China	2019	SZ6R
GCF_013815045	placeholder_ST47	128	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148363	Bovine	United Kingdom	2017	RHB36-C06
GCF_019656375	497	129	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMD00323045	"NA"	"NA"	"NA"	"NA"
GCF_014103655	347	130	Citrobacter pasteurii	100.00%	RefSeq	Ext	SAMN15148559	Environment	United Kingdom	2017	RHBSTW-00271
GCF_003471655	232	131	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN09734850	Human	China	2013	AM17-37
GCF_005217825	98	132	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10976864	Human	USA	2016	2016WA-REV
GCF_001317155	63	134	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN04011453	Human	South Africa	"NA"	953086287
GCF_013797615	placeholder_ST48	135	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN15148454	Environment	United Kingdom	2017	RHBSTW-00017
GCF_013826265	328	136	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN15148289	Bovine	United Kingdom	2017	RHB30-C04
GCF_014803265	22	137	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205287	Human	France	2017	149i8
GCF_016505625	241	142	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN10435547	Human	USA	2017	CB00002
GCF_015674715	placeholder_ST35	143	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16304137	Swine	Canada	2017	Res13-Lact-EC02-01
GCF_900449345	placeholder_ST49	146	Citrobacter braakii	100.00%	RefSeq	Ext	SAMEA3376910	"NA"	"NA"	"NA"	"NA"
GCF_016505395	244	147	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN10435566	Human	USA	2017	CB00022
GCF_016505485	150	148	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10435562	Human	USA	2017	CB00018
GCF_020099335	placeholder_ST50	149	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN21218845	"NA"	Germany	"NA"	FDAARGOS_1489
ERQ0243	150	150	Citrobacter freundii	99.43%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
